Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740310162949,3228,3228,3228,3228,3228,3228,3228,3228,47.27434158325195,48.06175231933594,49.868186950683594,47.87983703613281,50.40950012207031,47.56422424316406,46.863059997558594,49.121734619140625,47.2624626159668,48.94873046875,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,7.165910243988037,17179869184,15032385536,13296320512,13520928768
204,1740310162949,3228,3228,3228,3228,3228,3228,3228,3228,47.27434158325195,48.06175231933594,49.868186950683594,47.87983703613281,50.40950012207031,47.56422424316406,46.863059997558594,49.121734619140625,47.2624626159668,48.94873046875,,0.0,0.0,100.0,,0.0,0.0,0.0,7.165910243988037,17179869184,15032385536,13297008640,13520928768
204,1740310163154,3228,3228,3228,3228,3228,3228,3228,3228,47.27434158325195,48.06175231933594,49.868186950683594,47.87983703613281,50.40950012207031,47.56422424316406,46.863059997558594,49.121734619140625,47.2624626159668,48.94873046875,28.571430206298828,33.333335876464844,45.0,42.85714340209961,14.285715103149414,13.636363983154297,0.0,0.0,7.165910243988037,17179869184,15032385536,13297008640,13520928768
204,1740310163359,3228,3228,3228,3228,3228,3228,3228,3228,47.27434158325195,48.06175231933594,49.868186950683594,47.87983703613281,50.40950012207031,47.56422424316406,46.863059997558594,49.121734619140625,47.2624626159668,48.94873046875,35.0,25.0,10.0,65.0,4.761904716491699,0.0,0.0,0.0,7.165910243988037,17179869184,15032385536,13297008640,13520928768
203,1740310163566,3228,3228,3228,3228,3228,3228,3228,3228,47.67894744873047,47.99007797241211,51.83797454833984,50.44935989379883,50.78386688232422,47.969329833984375,47.28022003173828,49.7553596496582,47.2872200012207,48.985313415527344,95.23809814453124,100.0,76.19047546386719,52.38095474243164,55.0,30.000001907348633,20.0,15.000000953674316,7.165910243988037,17179869184,15032385536,13337280512,13512540160
200,1740310163770,3228,3228,3228,3228,3228,3228,3228,3228,47.67894744873047,47.99007797241211,51.83797454833984,50.44935989379883,50.78386688232422,47.969329833984375,47.28022003173828,49.7553596496582,47.2872200012207,48.985313415527344,100.0,100.0,60.000003814697266,70.0,55.0,45.0,25.0,25.0,7.165910243988037,17179869184,15032385536,13370392576,13487374336
204,1740310163971,3228,3228,3228,3228,3228,3228,3228,3228,47.67894744873047,47.99007797241211,51.83797454833984,50.44935989379883,50.78386688232422,47.969329833984375,47.28022003173828,49.7553596496582,47.2872200012207,48.985313415527344,65.0,63.15789031982422,66.66667175292969,57.894737243652344,42.105262756347656,30.000001907348633,20.0,19.047618865966797,7.498432636260986,17179869184,15032385536,13516390400,13470597120
202,1740310164176,3228,3228,3228,3228,3228,3228,3228,3228,47.67894744873047,47.99007797241211,51.83797454833984,50.44935989379883,50.78386688232422,47.969329833984375,47.28022003173828,49.7553596496582,47.2872200012207,48.985313415527344,50.0,47.619049072265625,68.42105102539062,38.095237731933594,23.809524536132812,9.523809432983398,5.0,0.0,7.498432636260986,17179869184,15032385536,13542195200,13470597120
199,1740310164378,3228,3228,3228,3228,3228,3228,3228,3228,47.67894744873047,47.99007797241211,51.83797454833984,50.44935989379883,50.78386688232422,47.969329833984375,47.28022003173828,49.7553596496582,47.2872200012207,48.985313415527344,50.0,50.0,61.904762268066406,35.0,25.0,15.000000953674316,10.0,5.263157844543457,7.498432636260986,17179869184,15032385536,13545832448,13470597120
200,1740310164579,3228,3228,3228,3228,3228,3228,3228,3228,49.20130920410156,49.54011535644531,53.63652801513672,51.967063903808594,52.726905822753906,49.472904205322266,49.670108795166016,51.93782043457031,49.094276428222656,50.355918884277344,55.0,55.0,52.6315803527832,65.0,60.000003814697266,52.6315803527832,33.333335876464844,23.809524536132812,7.498432636260986,17179869184,15032385536,13626851328,13470597120
