Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
201,1740310114868,3228,3228,3228,3228,3228,3228,3228,3228,52.508811950683594,53.30130386352539,57.137794494628906,55.467063903808594,56.120452880859375,52.199859619140625,54.277076721191406,56.49660110473633,52.33885955810547,53.45662689208984,90.47618865966795,95.0,80.95238494873047,85.0,80.95238494873047,75.0,52.38095474243164,31.57894515991211,20.07898712158203,17179869184,15032385536,13995606016,13562675200
204,1740310115069,3228,3228,3228,3228,3228,3228,3228,3228,52.508811950683594,53.30130386352539,57.137794494628906,55.467063903808594,56.120452880859375,52.199859619140625,54.277076721191406,56.49660110473633,52.33885955810547,53.45662689208984,95.0,95.0,73.68421173095703,73.68421173095703,63.15789031982422,47.36842346191406,52.38095474243164,40.0,20.065505981445312,17179869184,15032385536,13958561792,13594394624
204,1740310115274,3228,3228,3228,3228,3228,3228,3228,3228,52.508811950683594,53.30130386352539,57.137794494628906,55.467063903808594,56.120452880859375,52.199859619140625,54.277076721191406,56.49660110473633,52.33885955810547,53.45662689208984,100.0,100.0,75.0,61.904762268066406,47.619049072265625,61.904762268066406,52.6315803527832,33.333335876464844,20.065505981445312,17179869184,15032385536,13956251648,13586006016
203,1740310115478,3228,3228,3228,3228,3228,3228,3228,3228,52.80109405517578,53.92695236206055,57.69676971435547,56.264156341552734,56.19657897949219,52.91453170776367,55.33552169799805,57.38023376464844,53.385372161865234,54.178810119628906,100.0,100.0,55.0,57.142860412597656,60.000003814697266,60.000003814697266,19.047618865966797,14.285715103149414,20.065505981445312,17179869184,15032385536,13977419776,13586006016
204,1740310115682,3228,3228,3228,3228,3228,3228,3228,3228,52.80109405517578,53.92695236206055,57.69676971435547,56.264156341552734,56.19657897949219,52.91453170776367,55.33552169799805,57.38023376464844,53.385372161865234,54.178810119628906,100.0,100.0,80.95238494873047,60.000003814697266,45.0,47.619049072265625,42.85714340209961,25.0,20.065505981445312,17179869184,15032385536,14005272576,13586006016
203,1740310115886,3228,3228,3228,3228,3228,3228,3228,3228,52.80109405517578,53.92695236206055,57.69676971435547,56.264156341552734,56.19657897949219,52.91453170776367,55.33552169799805,57.38023376464844,53.385372161865234,54.178810119628906,100.0,100.0,63.15789031982422,40.0,19.047618865966797,15.789472579956056,5.263157844543457,4.761904716491699,20.510478973388672,17179869184,15032385536,13995065344,13586006016
204,1740310116091,3228,3228,3228,3228,3228,3228,3228,3228,52.80109405517578,53.92695236206055,57.69676971435547,56.264156341552734,56.19657897949219,52.91453170776367,55.33552169799805,57.38023376464844,53.385372161865234,54.178810119628906,100.0,100.0,60.000003814697266,42.105262756347656,20.0,14.285715103149414,4.761904716491699,0.0,20.510478973388672,17179869184,15032385536,13966262272,13586006016
201,1740310116296,3228,3228,3228,3228,3228,3228,3228,3228,52.80109405517578,53.92695236206055,57.69676971435547,56.264156341552734,56.19657897949219,52.91453170776367,55.33552169799805,57.38023376464844,53.385372161865234,54.178810119628906,100.0,100.0,38.095237731933594,9.523809432983398,0.0,0.0,0.0,0.0,20.510478973388672,17179869184,15032385536,13968244736,13586006016
203,1740310116498,3228,3228,3228,3228,3228,3228,3228,3228,51.04838180541992,52.06987762451172,54.802528381347656,52.537841796875,53.68714904785156,50.98621368408203,51.27249526977539,53.31487274169922,50.72723388671875,52.43292999267578,100.0,100.0,30.000001907348633,19.047618865966797,23.809524536132812,15.789472579956056,10.526315689086914,10.0,20.510478973388672,17179869184,15032385536,13957578752,13586006016
204,1740310116702,3228,3228,3228,3228,3228,3228,3228,3228,51.04838180541992,52.06987762451172,54.802528381347656,52.537841796875,53.68714904785156,50.98621368408203,51.27249526977539,53.31487274169922,50.72723388671875,52.43292999267578,100.0,100.0,45.0,36.84210586547851,30.000001907348633,22.72727394104004,9.523809432983398,0.0,20.510478973388672,17179869184,15032385536,13944471552,13577617408
